G_tag,I_tag,M_tag,cluster_id,estimate,formula,g,molType,mz_L,mz_R,q,tot_estimate_tmp,tot_intensity_tmp
G75,I762,M72,0,0.00738652586941,C63H96N17O13S1,2,z11,1335.68,1335.75,1,573.194981649,576.9
G75,I763,M72,0,0.0148441705705,C63H96N17O13S1,2,z11,1335.68,1335.75,1,573.194981649,576.9
G78,I760,M72,0,0.00067749674763,C63H96N17O13S1,2,z11,1334.67,1334.75,1,1677.27820671,2000.0
G75,I761,M72,0,0.000110815351802,C63H96N17O13S1,2,z11,1335.68,1335.75,1,573.194981649,576.9
G74,I766,M72,0,0.00465559909518,C63H96N17O13S1,2,z11,1336.68,1336.75,1,155.898777649,170.3
G79,I767,M72,0,1.20225627684e-05,C63H96N17O13S1,2,z11,1337.68,1337.75,1,33.0530183833,224.0
G74,I764,M72,0,0.000169641260814,C63H96N17O13S1,2,z11,1336.68,1336.75,1,155.898777649,170.3
G74,I765,M72,0,0.00302366382771,C63H96N17O13S1,2,z11,1336.68,1336.75,1,155.898777649,170.3
G85,I775,M72,0,4.98449638146e-05,C63H96N17O13S1,2,z11,1339.68,1339.76,1,4.98449638146e-05,0.0
G88,I774,M72,0,8.73784023335e-06,C63H96N17O13S1,2,z11,1339.68,1339.76,1,8.73784023335e-06,0.0
G79,I768,M72,0,0.000956114494645,C63H96N17O13S1,2,z11,1337.68,1337.75,1,33.0530183833,224.0
G79,I769,M72,0,0.00118452086808,C63H96N17O13S1,2,z11,1337.68,1337.75,1,33.0530183833,224.0
G87,I771,M72,0,0.000100106135357,C63H96N17O13S1,2,z11,1338.68,1338.76,1,0.000100106135357,0.0
G86,I776,M72,0,2.07077910393e-05,C63H96N17O13S1,2,z11,1339.68,1339.76,1,2.07077910393e-05,0.0
G78,I759,M72,0,0.0464747129593,C63H96N17O13S1,2,z11,1334.67,1334.75,1,1677.27820671,2000.0
G77,I758,M72,0,0.0609839358207,C63H96N17O13S1,2,z11,1333.67,1333.75,1,3702.70797796,3397.0
G80,I773,M72,0,7.1834071693e-05,C63H96N17O13S1,2,z11,1338.68,1338.76,1,7.1834071693e-05,0.0
G79,I770,M72,0,3.48963354257e-05,C63H96N17O13S1,2,z11,1337.68,1337.75,1,33.0530183833,224.0
G81,I772,M72,0,0.000300914625765,C63H96N17O13S1,2,z11,1338.68,1338.76,1,0.000300914625765,0.0
G78,I744,M71,0,967.391047813,C63H96N17O13S1,1,z11,1334.67,1334.75,1,1677.27820671,2000.0
G75,I745,M71,0,11.0554804172,C63H96N17O13S1,1,z11,1335.68,1335.75,1,573.194981649,576.9
G84,I755,M71,0,0.569442959365,C63H96N17O13S1,1,z11,1338.68,1338.76,1,0.569442959365,0.0
G75,I747,M71,0,303.404280186,C63H96N17O13S1,1,z11,1335.68,1335.75,1,573.194981649,576.9
G77,I740,M71,0,3028.74593451,C63H96N17O13S1,1,z11,1333.67,1333.75,1,3702.70797796,3397.0
G77,I741,M71,0,44.1523010981,C63H96N17O13S1,1,z11,1333.67,1333.75,1,3702.70797796,3397.0
G78,I742,M71,0,7.22180998828,C63H96N17O13S1,1,z11,1334.67,1334.75,1,1677.27820671,2000.0
G78,I743,M71,0,481.378125277,C63H96N17O13S1,1,z11,1334.67,1334.75,1,1677.27820671,2000.0
G74,I750,M71,0,77.1949418316,C63H96N17O13S1,1,z11,1336.68,1336.75,1,155.898777649,170.3
G74,I748,M71,0,0.783507541811,C63H96N17O13S1,1,z11,1336.68,1336.75,1,155.898777649,170.3
G75,I746,M71,0,197.051448893,C63H96N17O13S1,1,z11,1335.68,1335.75,1,573.194981649,576.9
G74,I749,M71,0,62.309753072,C63H96N17O13S1,1,z11,1336.68,1336.75,1,155.898777649,170.3
G74,I751,M71,0,2.27418583828,C63H96N17O13S1,1,z11,1336.68,1336.75,1,155.898777649,170.3
G79,I754,M71,0,4.68140928143,C63H96N17O13S1,1,z11,1337.68,1337.75,1,33.0530183833,224.0
G73,I739,M71,0,3974.30852019,C63H96N17O13S1,1,z11,1332.67,1332.76,1,5303.40593294,5447.0
G79,I753,M71,0,19.6105342322,C63H96N17O13S1,1,z11,1337.68,1337.75,1,33.0530183833,224.0
G83,I756,M71,0,3.24838437715,C63H96N17O13S1,1,z11,1338.68,1338.76,1,3.24838437715,0.0
G82,I757,M71,0,1.34952179216,C63H96N17O13S1,1,z11,1338.68,1338.76,1,1.34952179216,0.0
G79,I752,M71,0,6.52389291242,C63H96N17O13S1,1,z11,1337.68,1337.75,1,33.0530183833,224.0
G78,I726,M70,0,4.78174325753,C63H96N17O13S1,0,z11,1334.67,1334.75,1,1677.27820671,2000.0
G76,I720,M70,0,1718.97757968,C63H96N17O13S1,0,z11,1331.66,1331.76,1,1718.97757968,1690.0
G78,I727,M70,0,85.2291715577,C63H96N17O13S1,0,z11,1334.67,1334.75,1,1677.27820671,2000.0
G73,I721,M70,0,1310.00055218,C63H96N17O13S1,0,z11,1332.67,1332.76,1,5303.40593294,5447.0
G77,I724,M70,0,208.20683661,C63H96N17O13S1,0,z11,1333.67,1333.75,1,3702.70797796,3397.0
G73,I722,M70,0,19.0968605717,C63H96N17O13S1,0,z11,1332.67,1332.76,1,5303.40593294,5447.0
G75,I731,M70,0,33.3885438434,C63H96N17O13S1,0,z11,1335.68,1335.75,1,573.194981649,576.9
G75,I730,M70,0,26.9503658264,C63H96N17O13S1,0,z11,1335.68,1335.75,1,573.194981649,576.9
G74,I733,M70,0,2.82173001712,C63H96N17O13S1,0,z11,1336.68,1336.75,1,155.898777649,170.3
G75,I732,M70,0,0.983636385592,C63H96N17O13S1,0,z11,1335.68,1335.75,1,573.194981649,576.9
G74,I735,M70,0,2.02481451936,C63H96N17O13S1,0,z11,1336.68,1336.75,1,155.898777649,170.3
G74,I734,M70,0,8.48199592445,C63H96N17O13S1,0,z11,1336.68,1336.75,1,155.898777649,170.3
G79,I737,M70,0,1.40499910516,C63H96N17O13S1,0,z11,1337.68,1337.75,1,33.0530183833,224.0
G79,I736,M70,0,0.246296852668,C63H96N17O13S1,0,z11,1337.68,1337.75,1,33.0530183833,224.0
G77,I725,M70,0,418.418326994,C63H96N17O13S1,0,z11,1333.67,1333.75,1,3702.70797796,3397.0
G79,I738,M70,0,0.583698445209,C63H96N17O13S1,0,z11,1337.68,1337.75,1,33.0530183833,224.0
G75,I729,M70,0,0.338884586097,C63H96N17O13S1,0,z11,1335.68,1335.75,1,573.194981649,576.9
G78,I728,M70,0,131.229156612,C63H96N17O13S1,0,z11,1334.67,1334.75,1,1677.27820671,2000.0
