G_tag,cluster_id,mz_L,mz_R,tot_estimate,tot_intensity
G73,0,1332.67,1332.76,5303.40593294,5447.0
G87,0,1338.68,1338.76,0.000100106135357,0.0
G75,0,1335.68,1335.75,573.194981649,576.9
G77,0,1333.67,1333.75,3702.70797796,3397.0
G79,0,1337.68,1337.75,33.0530183833,224.0
G78,0,1334.67,1334.75,1677.27820671,2000.0
G74,0,1336.68,1336.75,155.898777649,170.3
G84,0,1338.68,1338.76,0.569442959365,0.0
G85,0,1339.68,1339.76,4.98449638146e-05,0.0
G86,0,1339.68,1339.76,2.07077910393e-05,0.0
G76,0,1331.66,1331.76,1718.97757968,1690.0
G80,0,1338.68,1338.76,7.1834071693e-05,0.0
G81,0,1338.68,1338.76,0.000300914625765,0.0
G82,0,1338.68,1338.76,1.34952179216,0.0
G83,0,1338.68,1338.76,3.24838437715,0.0
G88,0,1339.68,1339.76,8.73784023335e-06,0.0
G125,1,454.18,454.27,6.13582380586e-10,0.0
G132,1,454.18,454.27,0.818449451309,0.0
G122,1,451.53,451.63,6.48192494103,0.0
G123,1,454.18,454.27,1.00021770229,0.0
G120,1,452.21,452.27,80.5682619167,56.61
G128,1,452.71,452.81,0.0047374930448,0.0
G129,1,456.18,456.27,0.0414056261196,0.0
G127,1,451.71,451.81,0.552405920646,0.0
G113,1,455.18,455.27,0.817137492448,360.0
G121,1,450.21,450.27,652.885819027,595.8
G124,1,454.18,454.27,7.4113691673e-11,0.0
G112,1,453.18,453.27,5.33432079232,73.54
G111,1,450.71,450.81,9.43030095519,121.8
G110,1,449.86,449.96,816.357086807,891.4
G117,1,451.21,451.27,178.972108212,179.3
G116,1,453.18,453.27,19.5839008832,87.79
G115,1,450.86,450.96,106.217799053,122.9
G114,1,451.87,451.96,1.07240726397,129.0
G131,1,454.18,454.27,1.11037164839,0.0
G130,1,456.18,456.27,0.00500132322057,0.0
G118,1,451.18,451.19,71.2974162133,71.55
G126,1,454.18,454.27,2.54644685398,0.0
G119,1,450.53,450.62,301.524011931,228.0
G134,2,1082.52,1082.6,60.4781550685,122.9
G138,2,1084.52,1084.6,-3.38505054447e-14,0.0
G148,2,1086.51,1086.61,-8.30763450304e-15,0.0
G149,2,1083.52,1083.6,-7.76116019531e-13,0.0
G144,2,1084.52,1084.6,-2.71561674631e-13,0.0
